time	period	CT	effort	o_matter	mud	silt	clay	turbidity	temperature	Abundance	TaxonID
6	3	1	0.82	1.50	37.57	19.33	18.24	0.330874443	15.92	300	5
6	3	1	0.82	1.51	43.09	22.67	20.41	0.330874443	16.08	223	5
7	3	0	0	1.16	36.00	21.09	14.91	NA	14.50	517	5
7	3	0	0	1.24	38.46	21.34	17.12	NA	14.41	459	5
7	3	0	0	1.67	36.70	21.50	15.20	NA	14.63	412	5
7	3	0	0	1.48	33.00	18.79	14.20	NA	14.89	446	5
7	3	0	0	1.63	37.19	17.71	19.48	NA	13.68	379	5
7	3	1	1.02	1.69	40.23	20.66	19.57	NA	14.40	324	5
7	3	1	1.02	1.38	38.59	20.66	17.92	NA	14.60	291	5
7	3	1	1.02	1.69	29.62	15.04	14.58	NA	13.86	296	5
7	3	1	1.02	1.35	34.18	18.54	15.63	NA	14.03	244	5
7	3	1	1.02	1.32	35.72	18.13	17.59	NA	14.69	226	5
8	3	0	0	1.46	36.86	22.22	14.64	3.40	11.01	351	5
8	3	0	0	1.65	35.84	23.53	12.31	3.40	11.00	580	5
8	3	0	0	1.67	36.55	24.89	11.67	3.40	11.00	421	5
8	3	0	0	1.31	35.92	17.18	18.74	3.40	11.00	550	5
8	3	0	0	1.26	35.64	23.86	11.79	3.40	10.99	439	5
8	3	1	1.81	1.13	39.91	25.23	14.68	4.17	10.97	228	5
8	3	1	1.81	0.89	39.96	23.88	16.08	4.17	10.99	434	5
8	3	1	1.81	1.22	39.81	25.03	14.79	4.94	10.99	297	5
8	3	1	1.81	1.43	39.78	24.52	15.27	4.17	10.98	440	5
8	3	1	1.81	1.61	39.83	24.68	15.14	4.17	10.99	217	5
